time	V(vo)
2.000001613797960e-003	2.921185e-001
2.000001691230437e-003	2.922622e-001
2.000001780141494e-003	2.924215e-001
2.000001873067802e-003	2.925906e-001
2.000001990387223e-003	2.927653e-001
2.000002000000000e-003	2.927764e-001
2.000002000764097e-003	2.927741e-001
2.000002002292293e-003	2.927676e-001
2.000002005348683e-003	2.927532e-001
2.000002011461464e-003	2.927328e-001
2.000002023687027e-003	2.927224e-001
2.000002048138151e-003	2.927601e-001
2.000002097040401e-003	2.928731e-001
2.000002170369072e-003	2.929780e-001
2.000002232393326e-003	2.929958e-001
2.000002298908881e-003	2.929724e-001
2.000002371747735e-003	2.929277e-001
2.000002441294347e-003	2.928704e-001
2.000002496574427e-003	2.928141e-001
2.000002559413746e-003	2.927386e-001
2.000002644696312e-003	2.926228e-001
2.000002739377931e-003	2.924800e-001
2.000002852813877e-003	2.922912e-001
2.000002979218818e-003	2.920661e-001
2.000003142770443e-003	2.917683e-001
2.000003362084116e-003	2.913808e-001
2.000003724340262e-003	2.907971e-001
2.000004096329579e-003	2.903015e-001
2.000004596762251e-003	2.898275e-001
2.000005220529704e-003	2.895559e-001
2.000006346526727e-003	2.898687e-001
2.000008254998589e-003	2.921094e-001
2.000010608440634e-003	2.972378e-001
2.000013081478256e-003	3.049400e-001
2.000015894299857e-003	3.151574e-001
2.000018716111305e-003	3.248530e-001
2.000021402176427e-003	3.316006e-001
2.000024640771184e-003	3.360788e-001
2.000026944163505e-003	3.371720e-001
2.000029725870921e-003	3.369433e-001
2.000032307614697e-003	3.362190e-001
2.000036042879213e-003	3.351437e-001
2.000040389813444e-003	3.344906e-001
2.000048497915911e-003	3.345620e-001
2.000056171982379e-003	3.352402e-001
2.000064916471484e-003	3.359489e-001
2.000075273791862e-003	3.363380e-001
2.000093067968770e-003	3.366382e-001
2.000111490539018e-003	3.368647e-001
2.000148335679517e-003	3.371325e-001
2.000195941188560e-003	3.372876e-001
2.000258759895480e-003	3.373779e-001
2.000338580841559e-003	3.374234e-001
2.000414989244690e-003	3.374385e-001
2.000527340427672e-003	3.374448e-001
2.000645468914834e-003	3.374461e-001
2.001607178083491e-003	3.374475e-001
2.500000000000000e-003	3.374473e-001
2.500001000000000e-003	3.374476e-001
2.500001005807364e-003	3.375444e-001
2.500001017422093e-003	3.377217e-001
2.500001040651550e-003	3.379506e-001
2.500001069830282e-003	3.379960e-001
2.500001113445834e-003	3.377514e-001
2.500001171790979e-003	3.372614e-001
2.500001235388253e-003	3.368243e-001
2.500001289347199e-003	3.366551e-001
2.500001349894436e-003	3.366001e-001
2.500001440369408e-003	3.365333e-001
2.500001543604829e-003	3.364655e-001
2.500001646129743e-003	3.364483e-001
2.500001743997890e-003	3.365260e-001
2.500001855557560e-003	3.367397e-001
2.500001877846280e-003	3.368002e-001
2.500001922423719e-003	3.369315e-001
2.500002000000000e-003	3.371545e-001
2.500002004643792e-003	3.371350e-001
2.500002013931375e-003	3.371102e-001
2.500002032506540e-003	3.371193e-001
2.500002069656872e-003	3.372442e-001
2.500002143957534e-003	3.375587e-001
2.500002208331819e-003	3.377789e-001
2.500002280301162e-003	3.379422e-001
2.500002362784334e-003	3.380717e-001
2.500002444059235e-003	3.381726e-001
2.500002532122781e-003	3.382692e-001
2.500002619380594e-003	3.383594e-001
2.500002704673676e-003	3.384462e-001
2.500002815924454e-003	3.385592e-001
2.500002934714830e-003	3.386818e-001
2.500003090586397e-003	3.388539e-001
2.500003274963770e-003	3.390826e-001
2.500003559027737e-003	3.394942e-001
2.500003924984021e-003	3.401327e-001
2.500004372194618e-003	3.410940e-001
2.500004965988685e-003	3.426925e-001
2.500005872826912e-003	3.458288e-001
2.500007521377350e-003	3.530563e-001
2.500009606746590e-003	3.638522e-001
2.500011552288897e-003	3.744271e-001
2.500013381918712e-003	3.832808e-001
2.500015360686237e-003	3.903635e-001
2.500017284103635e-003	3.946284e-001
2.500018618981708e-003	3.960333e-001
2.500020134751190e-003	3.963581e-001
2.500021762163220e-003	3.958454e-001
2.500023740295349e-003	3.945742e-001
2.500026010910962e-003	3.928790e-001
2.500028892811830e-003	3.910386e-001
2.500032581859849e-003	3.897544e-001
2.500038678103325e-003	3.895344e-001
2.500043912430504e-003	3.902955e-001
2.500049904203095e-003	3.912856e-001
2.500056021458536e-003	3.917677e-001
2.500066290398554e-003	3.919263e-001
2.500077312390261e-003	3.920433e-001
2.500091976396171e-003	3.922795e-001
2.500121304407992e-003	3.925771e-001
2.500148587094263e-003	3.927065e-001
2.500203152466804e-003	3.928550e-001
2.500270885030480e-003	3.929359e-001
2.500344135676756e-003	3.929695e-001
2.500444524887133e-003	3.929868e-001
2.500536175425255e-003	3.929908e-001
2.500696009669832e-003	3.929948e-001
2.501195170506648e-003	3.929954e-001
2.984628019393544e-003	3.929952e-001
2.992441519393544e-003	3.929926e-001
2.992447519393543e-003	3.929891e-001
2.992503519393538e-003	3.929957e-001
2.999999000000000e-003	3.929952e-001
3.000000000000000e-003	3.929949e-001
3.000000004620315e-003	3.929672e-001
3.000000013860945e-003	3.929201e-001
3.000000032342204e-003	3.928719e-001
3.000000069304723e-003	3.928739e-001
3.000000139026618e-003	3.929719e-001
3.000000251186476e-003	3.931292e-001
3.000000402358542e-003	3.932737e-001
3.000000492069504e-003	3.933299e-001
3.000000580643017e-003	3.933705e-001
3.000000653032849e-003	3.933944e-001
3.000000732779688e-003	3.933845e-001
3.000000790274590e-003	3.932999e-001
3.000000845980514e-003	3.931531e-001
3.000000906265711e-003	3.930066e-001
3.000000931955870e-003	3.929361e-001
3.000000948619682e-003	3.928685e-001
3.000000966672376e-003	3.927851e-001
3.000001000000000e-003	3.926319e-001
3.000001003332762e-003	3.927308e-001
3.000001009998287e-003	3.929482e-001
3.000001023329337e-003	3.933224e-001
3.000001049991435e-003	3.937168e-001
3.000001084197093e-003	3.936697e-001
3.000001123610555e-003	3.931215e-001
3.000001172676770e-003	3.922386e-001
3.000001224197128e-003	3.915369e-001
3.000001270590061e-003	3.913071e-001
3.000001321666843e-003	3.913574e-001
3.000001394408747e-003	3.915329e-001
3.000001470578666e-003	3.917230e-001
3.000001552496049e-003	3.919066e-001
3.000001632546997e-003	3.920405e-001
3.000001714081064e-003	3.921639e-001
3.000001802175515e-003	3.923543e-001
3.000001902135566e-003	3.926271e-001
3.000002000000000e-003	3.928954e-001
3.000002004523369e-003	3.928810e-001
3.000002013570106e-003	3.928609e-001
3.000002031663581e-003	3.928658e-001
3.000002067850532e-003	3.929679e-001
3.000002140224433e-003	3.932359e-001
3.000002200302155e-003	3.934052e-001
3.000002272916589e-003	3.935101e-001
3.000002343343793e-003	3.935484e-001
3.000002434516366e-003	3.935602e-001
3.000002501266517e-003	3.935587e-001
3.000002568372313e-003	3.935518e-001
3.000002637393258e-003	3.935423e-001
3.000002734261087e-003	3.935255e-001
3.000002844953336e-003	3.935013e-001
3.000002969600217e-003	3.934725e-001
3.000003122915952e-003	3.934483e-001
3.000003350090872e-003	3.934563e-001
3.000003725552032e-003	3.935809e-001
3.000004074716429e-003	3.938505e-001
3.000004587870850e-003	3.945396e-001
3.000005202835900e-003	3.958442e-001
3.000006399895559e-003	3.996862e-001
3.000008325758108e-003	4.081898e-001
3.000010460971462e-003	4.197072e-001
3.000012410241074e-003	4.308151e-001
3.000014216826339e-003	4.399995e-001
3.000016163673674e-003	4.473071e-001
3.000018241563363e-003	4.521000e-001
3.000019447250188e-003	4.533471e-001
3.000020807868861e-003	4.534453e-001
3.000022349753667e-003	4.526117e-001
3.000024149138203e-003	4.508874e-001
3.000026246974686e-003	4.485056e-001
3.000028780569045e-003	4.458428e-001
3.000031937526844e-003	4.435720e-001
3.000036349897791e-003	4.422923e-001
3.000040260049674e-003	4.425579e-001
3.000044448076708e-003	4.435717e-001
3.000049451953997e-003	4.446133e-001
3.000055195517331e-003	4.450763e-001
3.000063283532154e-003	4.449817e-001
3.000072813845248e-003	4.448254e-001
3.000083116372261e-003	4.449334e-001
3.000099409015169e-003	4.451674e-001
3.000116566124944e-003	4.452530e-001
3.000150880344493e-003	4.453552e-001
3.000191571682286e-003	4.454524e-001
3.000250779550210e-003	4.455076e-001
3.000345420857966e-003	4.455544e-001
3.000432555739523e-003	4.455710e-001
3.000544222931096e-003	4.455762e-001
3.000704778173037e-003	4.455784e-001
3.015109382569891e-003	4.455787e-001
3.029513986966746e-003	4.455788e-001
3.043918591363601e-003	4.455790e-001
3.058323195760456e-003	4.455790e-001
3.072727800157310e-003	4.455790e-001
3.087132404554165e-003	4.455790e-001
3.101537008951020e-003	4.455789e-001
3.484349508951020e-003	4.455789e-001
3.492188500000000e-003	4.455767e-001
3.492665338881638e-003	4.455781e-001
3.493142177763276e-003	4.455791e-001
3.493619016644914e-003	4.455797e-001
3.494095855526552e-003	4.455800e-001
3.494572694408189e-003	4.455800e-001
3.495049533289827e-003	4.455796e-001
3.495526372171465e-003	4.455789e-001
3.497836452881780e-003	4.455798e-001
3.497909024310345e-003	4.455793e-001
3.497981595738909e-003	4.455789e-001
3.498054167167474e-003	4.455787e-001
3.498126738596039e-003	4.455785e-001
3.498199310024604e-003	4.455785e-001
3.498271881453168e-003	4.455787e-001
3.498344452881733e-003	4.455789e-001
3.499999890947617e-003	4.455789e-001
3.500001000000000e-003	4.455793e-001
3.500001006400437e-003	4.457004e-001
3.500001019201312e-003	4.459285e-001
3.500001044803060e-003	4.462474e-001
3.500001073136938e-003	4.463170e-001
3.500001122910607e-003	4.459440e-001
3.500001187798934e-003	4.451746e-001
3.500001247458927e-003	4.445813e-001
3.500001294225305e-003	4.443807e-001
3.500001356129311e-003	4.443513e-001
3.500001460324186e-003	4.443679e-001
3.500001567840058e-003	4.443804e-001
3.500001661176942e-003	4.444304e-001
3.500001761243739e-003	4.446130e-001
3.500001868393928e-003	4.449824e-001
3.500002000000000e-003	4.455565e-001
3.500002004624362e-003	4.455399e-001
3.500002013873084e-003	4.455182e-001
3.500002032370529e-003	4.455317e-001
3.500002069365420e-003	4.456815e-001
3.500002143355201e-003	4.460826e-001
3.500002207494300e-003	4.463701e-001
3.500002279743533e-003	4.465646e-001
3.500002362944174e-003	4.466885e-001
3.500002444628547e-003	4.467821e-001
3.500002532584770e-003	4.468978e-001
3.500002620229354e-003	4.470406e-001
3.500002705844199e-003	4.472032e-001
3.500002816826651e-003	4.474285e-001
3.500002935762564e-003	4.476763e-001
3.500003091919491e-003	4.480222e-001
3.500003277198229e-003	4.484801e-001
3.500003562960936e-003	4.492871e-001
3.500003928722140e-003	4.504851e-001
3.500004377662055e-003	4.522159e-001
3.500004972521982e-003	4.549499e-001
3.500005885537489e-003	4.600241e-001
3.500007542106131e-003	4.708032e-001
3.500009209445641e-003	4.826119e-001
3.500010527653067e-003	4.918572e-001
3.500011727840063e-003	4.993334e-001
3.500012944871780e-003	5.053295e-001
3.500014404790309e-003	5.104464e-001
3.500015411920411e-003	5.125804e-001
3.500016519272966e-003	5.135451e-001
3.500017730230408e-003	5.134436e-001
3.500018896987187e-003	5.124696e-001
3.500019940473384e-003	5.110346e-001
3.500021053480963e-003	5.091282e-001
3.500022177055554e-003	5.070250e-001
3.500023885716177e-003	5.038636e-001
3.500025857154243e-003	5.007392e-001
3.500028579236301e-003	4.978548e-001
3.500032111997451e-003	4.962998e-001
3.500034777875569e-003	4.965963e-001
3.500037468066073e-003	4.978232e-001
3.500040755891485e-003	4.995340e-001
3.500044259249933e-003	5.008464e-001
3.500048682246214e-003	5.014254e-001
3.500053410783944e-003	5.011216e-001
3.500058724762819e-003	5.004869e-001
3.500064525599127e-003	5.002038e-001
3.500072705833330e-003	5.004454e-001
3.500081609283198e-003	5.007658e-001
3.500091759769154e-003	5.008253e-001
3.500106843391009e-003	5.007887e-001
3.500122986188951e-003	5.008661e-001
3.500179850861050e-003	5.009999e-001
3.500237270283208e-003	5.010672e-001
3.500317742641743e-003	5.011019e-001
3.500399266433600e-003	5.011177e-001
3.500506665544318e-003	5.011260e-001
3.500621701252132e-003	5.011271e-001
3.501065424684949e-003	5.011286e-001
3.995690115327542e-003	5.011292e-001
3.997305654017374e-003	5.011135e-001
3.997311654017376e-003	5.011151e-001
3.997319654017379e-003	5.011246e-001
3.997335654017384e-003	5.011314e-001
3.999999000000000e-003	5.011292e-001
4.000000000000000e-003	5.011289e-001
4.000000004509815e-003	5.010409e-001
4.000000013529447e-003	5.008854e-001
4.000000031568709e-003	5.007075e-001
4.000000067647233e-003	5.006798e-001
4.000000136612551e-003	5.010201e-001
4.000000240904093e-003	5.015984e-001
4.000000395266270e-003	5.021629e-001
4.000000489977671e-003	5.023443e-001
4.000000580517096e-003	5.024386e-001
4.000000654284155e-003	5.024829e-001
4.000000735223021e-003	5.024168e-001
4.000000790549570e-003	5.021497e-001
4.000000847035850e-003	5.015488e-001
4.000000906330411e-003	5.006820e-001
4.000000945572285e-003	5.001062e-001
4.000001000000000e-003	4.994109e-001
4.000001005442772e-003	4.997502e-001
4.000001016328315e-003	5.004421e-001
4.000001038099402e-003	5.014317e-001
4.000001081641574e-003	5.019325e-001
4.000001126521414e-003	5.010498e-001
4.000001177485165e-003	4.993871e-001
4.000001221561581e-003	4.983791e-001
4.000001272725415e-003	4.981347e-001
4.000001338102228e-003	4.986258e-001
4.000001400270862e-003	4.993503e-001
4.000001471920199e-003	5.001763e-001
4.000001553347806e-003	5.009057e-001
4.000001636420899e-003	5.013269e-001
